Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Цюцюра,Марʼяна,Тимофіївна,Жінка,2005-04-12,Мистецтвознавець,селище Здолбунів,"набережна Юннатів 3-й, буд. 87, Гайсин, 11586",413 47 35,skorobohatkoviktor@ukr.net
Жученко,Олена,Ярославівна,Жінка,1984-01-28,Економіст,село Славута,"вулиця Космонавтів, буд. 1 кв. 319, Вінниця, 83465",072 587 86 74,achuiko@gmail.com
Карпенко,Людмила,Зіновіївна,Жінка,1959-12-13,Архітектор,місто Кремінна,"площа Ямчитського, буд. 9, Добромиль, 36581",818 20 71,veniiamyn49@ukr.net
Нестеренко,Златослава,Тимофіївна,Жінка,1991-01-29,Льотчик,селище Суходільськ,"набережна Альтовий, буд. 40 кв. 9, Оріхів, 80034",+380 67 068-23-32,symon69@ukr.net
Карпа,Богуслава,Олегівна,Жінка,1951-10-02,Електрик,селище Звенигородка,"площа Абрикосовий, буд. 08 кв. 3, Кипуче, 35265",029 192-35-30,baturynetsmykyta@gmail.com
Бабій,Артем,Антонович,Чоловік,1960-09-24,Економіст,село Дружківка,"шосе Місячний, буд. 173 кв. 2, Горішні Плавні, 76299",738-08-37,kzhalilo@gmail.com
Асаула,Марта,Максимівна,Жінка,2007-04-16,Фольклорист,селище Золочів,"сквер Скляний 1-й, буд. 5 кв. 17, Судова Вишня, 16632",+380 (13) 368-40-69,mazepatereza@ukr.net
Андріїшин,Костянтин,Сергійович,Чоловік,2007-10-08,Професор,селище Залізне,"парк Отамана Чепіги, буд. 07 кв. 100, Болград, 31169",521 91 46,zasiadkovenedykt@gmail.com
Литвиненко,Адам,Михайлович,Чоловік,1966-10-14,Перекладач,селище Красноперекопськ,"площа Наливна, буд. 0 кв. 7, Черкаси, 98230",696-98-80,prokhirtymchuk@gmail.com
Уманець,Аніта,Романівна,Жінка,1941-10-21,Стоматолог,село Луганськ,"набережна Ланжерон, буд. 0, Новоград-Волинський, 31812",+380 (43) 262-09-92,ivashchenkoanita@ukr.net
Тесленко,Роксолана,Максимівна,Жінка,1988-08-17,Кінолог,селище Березне,"площа Дігтярна, буд. 25, Вишгород, 02703",028 310 84 22,olena90@ukr.net
Гречаник,Вадим,Вікторович,Чоловік,2007-05-22,Ґрунтознавець,селище Сіверськ,"проспект М’ясоєдовська, буд. 8, Кам'янка-Дніпровська, 83891",414 21 95,davyd96@ukr.net
Жук,Варфоломій,Ярославович,Чоловік,1994-11-11,Державний службовець,село Бобринець,"провулок Школярський, буд. 85, Олевськ, 82183",001 13 98,pavlychenkostefan@ukr.net
Лавренко,Володимир,Валентинович,Чоловік,1967-07-12,Вчитель,село Остер,"вулиця Амбулаторний 2-й, буд. 035 кв. 3, Борзна, 49284",+380 19 806 00 70,mmamchur@gmail.com
Ващенко,Володимир,Зіновійович,Чоловік,1985-02-01,Редактор,селище Вуглегірськ,"вулиця Сім'ї Глодан, буд. 301, Рудки, 77315",+380 (69) 150-82-28,ielysavetarubets@gmail.com
Каденюк,Віолетта,Іванівна,Жінка,1992-04-25,Літературознавець,село Новий Розділ,"узвіз 19-та Лінія, буд. 2, Васильків, 25676",055 139 54 12,dmytro45@gmail.com
Чаленко,Яків,Михайлович,Чоловік,1994-06-15,Астроном,селище Дубляни,"парк Харківська, буд. 808 кв. 59, Апостолове, 29004",+380 (91) 226-85-76,prokhir88@gmail.com
Ємець,Дмитро,Михайлович,Чоловік,1959-12-14,Каскадер,селище Краматорськ,"узвіз Лузанівка, буд. 847, Хмільник, 92728",+380 55 237-56-40,wkorzh@gmail.com
Баран,Богданна,Ярославівна,Жінка,1953-01-22,Пілот,місто Валки,"проспект Юрія Коваленка, буд. 89, Кагарлик, 91672",007 290 61 73,liubovtarasenko@gmail.com
Карпа,Остап,Ярославович,Чоловік,2001-07-18,Клавішник,місто Золоте,"парк Юннатів 1-й, буд. 23 кв. 785, Павлоград, 14600",637 99 68,leonid26@ukr.net
Захаренко,Опанас,Зіновійович,Чоловік,1955-08-09,Професор,селище Бучач,"набережна Іванівський переїзд, буд. 0, Джанкой, 10889",+380 (29) 886-95-51,xchalenko@gmail.com
Дахно,Олена,Ярославівна,Жінка,1941-02-14,Ветеринар,селище Нова Одеса,"провулок Луценка Івана, буд. 6, Яворів, 66492",+380 53 429-36-37,ihnat68@gmail.com
Батуринець,Богуслав,Дмитрович,Чоловік,1977-11-11,Дантист,селище Сторожинець,"площа Вчительська, буд. 9 кв. 145, Роздільна, 07197",184-34-52,kabanenkobohuslava@ukr.net
Фаренюк,Марко,Володимирович,Чоловік,1970-12-18,Фермер,село Володимир-Волинський,"набережна Довга, буд. 9, Хоростків, 47014",077 218 07 17,dpetrenko@ukr.net
Вернидуб,Алла,Іванівна,Жінка,1991-10-23,Гицель,місто Ужгород,"парк Студентський 3-й, буд. 3, Ізюм, 32703",069 570 02 73,les41@ukr.net
Мірошниченко,Вікторія,Вікторівна,Жінка,1992-01-03,Мінералог,селище Нововолинськ,"вулиця Ялинковий, буд. 1 кв. 0, Боково-Хрустальне, 41937",034 480-89-37,amvrosiipylypenko@ukr.net
Гаєвський,Аліна,Дмитрівна,Жінка,1998-06-16,Провізор,село Рубіжне,"узвіз Бориса Дерев'янка, буд. 475 кв. 924, Баранівка, 67483",+380 40 619 13 08,anita20@ukr.net
Зарудна,Омелян,Ярославович,Чоловік,1959-11-13,Стропальник,місто Козятин,"вулиця Олександрійський, буд. 5, Гребінка, 77862",353 50 84,aaron46@gmail.com
Якимчук,Олег,Ярославович,Чоловік,1985-04-12,Професор,село Радивилів,"узвіз Аеродромний 3-й, буд. 250 кв. 548, Київ, 40717",+380 97 095 40 63,orest84@gmail.com
Габелко,Олена,Зіновіївна,Жінка,1975-04-23,Мовознавець,місто Шпола,"провулок Південно-Санаторний, буд. 8, Бунге, 28238",+380 94 134-65-21,velychkomykhailyna@ukr.net
Дахно,Пилип,Сергійович,Чоловік,1967-09-21,Каскадер,селище Борзна,"площа Металістів, буд. 349 кв. 0, Харцизьк, 19154",578 28 12,ofareniuk@gmail.com
Гайворонська,Віолетта,Валентинівна,Жінка,1966-08-16,Археолог,селище Белз,"проспект Лінія 29-та, буд. 355 кв. 0, Білгород-Дністровський, 15851",096 668-43-31,tarasatamanchuk@ukr.net
Дацюк,Богуслав,Валентинович,Чоловік,1954-02-05,Фотограф,місто Армянськ,"сквер Людмили Гінзбург, буд. 412 кв. 7, Славута, 08158",+380 30 974-46-08,symonoberemko@ukr.net
Атаманчук,Вікторія,Олегівна,Жінка,1977-07-25,Пекар,місто Жовква,"узвіз Тещин міст, буд. 22, Тараща, 84336",060 783-84-50,qiushchenko@ukr.net
Дзюба,Сніжана,Василівна,Жінка,1959-01-06,Маркетолог,місто Іршава,"сквер Амундсена, 3-й, буд. 65, Знам'янка, 43584",+380 64 958-61-33,stepan34@ukr.net
Макаренко,Ліза,Григорівна,Жінка,1999-07-09,Доцент,місто Нововолинськ,"шосе Авіаційна, буд. 56 кв. 0, Світлодарськ, 34982",+380 68 014-03-20,fderevianko@ukr.net
Петлюра,Ігор,Тимофійович,Чоловік,1968-08-20,Промисловець,село Ірміно,"проспект Станційна 2-га, буд. 044, Заліщики, 85604",814 93 71,viktoriiakolesnychenko@ukr.net
Корж,Маруся,Зіновіївна,Жінка,2002-04-06,Епідеміолог,село Долина,"шосе Гранатний, буд. 304 кв. 5, Феодосія, 77556",856-78-68,ezhalilo@gmail.com
Вахній,Степан,Володимирович,Чоловік,1945-11-26,Мікробіолог,селище Зимогір'я,"вулиця Міцкевича, буд. 312, Косів, 79702",223 18 42,sviatoslavandriishyna@ukr.net
Бездітко,Златослава,Володимирівна,Жінка,1967-05-11,Льотчик,місто Борщів,"площа Олега Андрійця, буд. 146, Монастириська, 66306",197 12 87,hordiiduplii@ukr.net
Ірванець,Соломія,Володимирівна,Жінка,1975-04-22,Дантист,селище Красноперекопськ,"шосе Кишинівська, буд. 54 кв. 27, Луцьк, 12311",+380 (74) 105-90-54,zorianandrusenko@ukr.net
Кабалюк,Валентин,Петрович,Чоловік,1977-03-29,Ріелтор,село Бережани,"сквер Дідріхсона, буд. 9, Дніпрорудне, 59240",834 33 51,klyment10@ukr.net
Ємець,Ірина,Дмитрівна,Жінка,1979-11-18,Футболіст,місто Волноваха,"парк Лавкова, буд. 750, Костопіль, 52157",+380 93 124-02-64,illiapelekh@ukr.net
Хорішко,Єва,Петрівна,Жінка,1943-10-07,Електрослюсар,селище Кам'янське,"узвіз Сільська, буд. 5 кв. 243, Лисичанськ, 25004",287 18 80,tymofii19@gmail.com
Христенко,Камілла,Валентинівна,Жінка,2008-07-30,Державний службовець,місто Красногорівка,"площа Глухівський, буд. 611 кв. 8, Нова Одеса, 47218",+380 40 731 84 79,szhurba@ukr.net
Ільєнко,Аркадій,Зіновійович,Чоловік,1938-10-19,Клоун,село Корюківка,"проспект Василя Кандинського 5-й, буд. 09 кв. 84, Судак, 73714",221-94-34,ypavlenko@gmail.com
Пустовіт,Пармен,Антонович,Чоловік,1985-03-18,Фольклорист,місто Зимогір'я,"шосе Естафетна, буд. 406, Новоселиця, 30512",+380 (42) 309-15-67,iatsenkonazar@ukr.net
Тягнибок,Альберт,Ігорович,Чоловік,1966-11-16,Парфюмер,місто Баштанка,"проспект Проектна 2-га, буд. 266, Сміла, 77286",078 698 81 40,imykhailiuk@ukr.net
Яременко,Марія,Романівна,Жінка,1972-06-13,Кушнір,місто Чортків,"проспект Радіальна, буд. 947 кв. 72, Кам'янка-Дніпровська, 37446",038 78 12,zakharvenhrynovych@gmail.com
Тарасенко,Алла,Петрівна,Жінка,1973-09-24,Гірничий інженер,село Баштанка,"провулок Івахненка Петра, буд. 19, Бахмач, 74285",032 535-72-38,okhrimoberemko@ukr.net
Артимович,Валентина,Антонівна,Жінка,1938-07-26,Дипломат,село Амвросіївка,"проспект Круговий, буд. 80, Євпаторія, 53723",024 920 62 85,ishcherbak@gmail.com
Петлюра,Єфрем,Максимович,Чоловік,1978-03-03,Золотар,місто Лубни,"парк Гена Іоганна, буд. 5 кв. 8, Святогірськ, 51665",977-38-80,viktoriiakadeniuk@ukr.net
Свириденко,Гордій,Григорович,Чоловік,1998-06-15,Детектив,селище Кипуче,"провулок Миколи Гумільова, буд. 8, Сімферополь, 87292",+380 34 928 34 94,fbalaban@ukr.net
Корпанюк,Демид,Володимирович,Чоловік,1998-08-01,Дантист,місто Коломия,"узвіз Лиманчик 2-й Лінія 11-та, буд. 134, Підгородне, 43466",013 209 99 18,panteleimon66@gmail.com
Гавришкевич,Федір,Вікторович,Чоловік,2003-01-16,Публіцист,село Сарни,"площа Корнюшина, буд. 294, Ланівці, 87855",042 374 51 54,askopenko@ukr.net
Гупало,Гліб,Васильович,Чоловік,1979-09-30,Етнограф,місто Почаїв,"вулиця Різницький, буд. 142 кв. 993, Бар, 34447",097 040 31 74,danylo91@ukr.net
Онуфрієнко,Йосип,Максимович,Чоловік,1999-04-20,Маркетолог,село Шепетівка,"площа Сталепрокатна, буд. 3, Чернігів, 80656",170-85-33,azar20@ukr.net
Гаврилюк,Святослав,Валентинович,Чоловік,1944-09-02,Географ,селище Родинське,"узвіз Тупиковий 1-й, буд. 56, Чуднів, 64883",170 59 55,hhuzenko@gmail.com
Архимович,Віктор,Дмитрович,Чоловік,1950-09-14,Філолог,місто Буськ,"шосе Лиманчик 2-й Лінія 8-ма, буд. 894 кв. 38, Кадіївка, 22210",034 971-46-56,okseniia82@gmail.com
Височан,Максим,Михайлович,Чоловік,1945-06-06,Бізнесмен,село Лубни,"набережна Планетна, буд. 63 кв. 476, Слов'янськ, 51966",+380 (70) 943-48-89,ivanychukonysym@ukr.net
Твердохліб,Демʼян,Вікторович,Чоловік,1964-01-12,Намотувальник,місто Зеленодольськ,"вулиця Танфільєва, буд. 5 кв. 036, Гнівань, 76006",003 530 07 13,omelianievtushenko@ukr.net
Романчук,Віолетта,Дмитрівна,Жінка,1966-08-31,Пекар,селище Синельникове,"провулок Гілельса, буд. 0, Рожище, 30169",+380 37 890-41-29,arsen07@gmail.com
Ейбоженко,Тереза,Зіновіївна,Жінка,1946-04-01,Маркетолог,місто Вугледар,"парк Польовий 1-й, буд. 2, Вільногірськ, 03558",+380 68 546-23-20,prokhir06@gmail.com
Височан,Єва,Антонівна,Жінка,2000-10-09,Гірник,село Мар'їнка,"провулок Верхня, буд. 2, Середина-Буда, 93353",+380 81 454-96-47,mskyba@gmail.com
Саченко,Симон,Володимирович,Чоловік,1987-03-06,Електромонтер,місто Армянськ,"проспект Планетна, буд. 428 кв. 8, Нова Одеса, 30502",+380 33 861-86-69,romanhohol@ukr.net
Кальченко,Владислав,Володимирович,Чоловік,2005-07-07,Зоолог,місто Хорол,"набережна Юннатів 1-й, буд. 755, Гірське, 01050",044-40-01,oleksa35@ukr.net
Супруненко,Кирило,Васильович,Чоловік,1945-01-08,Менеджер,село Бунге,"шосе Іванівський переїзд, буд. 6, Снятин, 13032",+380 66 620-98-16,steslia@ukr.net
Архимович,Марта,Романівна,Жінка,1949-08-10,Кухар,місто Ходорів,"парк Радіальна, буд. 595 кв. 688, Глиняни, 35992",067 797-52-13,rpustovit@gmail.com
Сімашкевич,Олена,Василівна,Жінка,1996-02-18,Різноробочий,місто Бердянськ,"набережна Валерія Лобановського, буд. 1 кв. 00, Свалява, 97242",160 28 84,oleksahaidenko@ukr.net
Фесенко,Арсен,Ігорович,Чоловік,1973-02-09,Геофізик,селище Новодністровськ,"площа Шоста, буд. 23 кв. 543, Щастя, 13782",139-26-41,esmyk@ukr.net
Авраменко,Любов,Вікторівна,Жінка,1944-12-30,Астронавт,місто Новий Розділ,"проспект Онілової, буд. 458 кв. 8, Володимир-Волинський, 17286",889 93 28,izhuravel@gmail.com
Смик,Марина,Ігорівна,Жінка,1943-09-23,Адвокат,селище Борзна,"сквер Льва Симиренка, буд. 94, Кіцмань, 13851",031 211 33 74,haidenkoles@gmail.com
Колесниченко,Соломія,Вікторівна,Жінка,1949-07-19,Фермер,село Городня,"шосе Матеріальний 1-й, буд. 8, Новий Розділ, 74255",007 980-58-60,agereta@ukr.net
Єременко,Орест,Андрійович,Чоловік,1989-11-18,Електрик,селище Переяслав,"узвіз Коцюбинського, буд. 7 кв. 00, Українськ, 73024",886 73 90,sheremetabohuslav@ukr.net
Аверченко,Нестор,Ярославович,Чоловік,1981-12-19,Правник,село Львів,"узвіз Ризька, буд. 58 кв. 10, Узин, 20415",+380 67 212-60-99,kamillabezborodko@ukr.net
Даньків,Святослав,Ярославович,Чоловік,1981-02-14,Єгер,село Авдіївка,"провулок Грузинська, буд. 3, Зоринськ, 04224",+380 29 781-08-34,haivoronskyivalentyna@ukr.net
Бакуменко,Олександр,Васильович,Чоловік,1967-11-22,Географ,село Ямпіль,"набережна Радісний, буд. 1 кв. 3, Одеса, 74211",+380 59 778-38-79,vasyl91@gmail.com
Андрощук,Павло,Антонович,Чоловік,1945-10-02,Письменник,село Носівка,"провулок Лазурний 2-й, буд. 697, Багачеве, 56374",+380 (48) 154-59-94,akyrylenko@gmail.com
Авдєєнко,Орхип,Ігорович,Чоловік,1953-11-23,Будник,селище Костопіль,"парк Дюківський сад, буд. 618, Южне, 10886",048 12 96,ychornovil@gmail.com
Демʼянчук,Ірена,Дмитрівна,Жінка,1979-04-25,Модельєр,селище Богуслав,"провулок Сергія Ейзенштейна, буд. 007 кв. 13, Сватове, 96771",+380 (34) 698-31-32,makohonorkhyp@gmail.com
Давимука,Єлисей,Антонович,Чоловік,1938-06-25,Будник,місто Євпаторія,"провулок Стеценко, буд. 4, Суми, 82398",+380 97 898-68-42,anzhela15@gmail.com
Стус,Яків,Вікторович,Чоловік,1969-09-15,Актор,селище Новгород-Сіверський,"набережна Ольгіївська, буд. 53, Біляївка, 86888",054 941-38-62,tytarenkovolodymyra@ukr.net
Дубенко,Віра,Дмитрівна,Жінка,1959-06-01,Круп'є,місто Люботин,"проспект Любашівський, буд. 261, Бершадь, 27298",+380 (55) 951-60-55,tetiana35@gmail.com
Дзиндра,Альберт,Максимович,Чоловік,1978-10-16,Маркетолог,селище Новий Розділ,"площа Лінія 32-га, буд. 20, Шепетівка, 95712",+380 93 119-19-14,jredko@gmail.com
Александренко,Єлисавета,Михайлівна,Жінка,1970-01-21,Електротехнік,селище Пирятин,"набережна Андросовський, буд. 7, Могилів-Подільський, 54111",+380 58 811-80-92,allatereshchuk@ukr.net
Хорішко,Єлисей,Сергійович,Чоловік,2002-09-14,Палеонтолог,селище Люботин,"шосе Нафтовиків, буд. 2 кв. 083, Пологи, 54171",048 451 86 75,veniiamynmatiash@gmail.com
Величко,Вікторія,Тимофіївна,Жінка,1974-10-28,Паралегал,місто Хотин,"провулок Окружна, буд. 7 кв. 70, Ланівці, 78931",033 633 06 77,marta84@gmail.com
Царенко,Болеслав,Петрович,Чоловік,1997-07-17,Зоолог,місто Бунге,"сквер Мерло, буд. 95, Прилуки, 94187",+380 86 087-97-73,anastasiiabairak@gmail.com
Ярош,Клавдія,Сергіївна,Жінка,1939-10-07,Агроном,село Брянка,"вулиця Польовий 1-й, буд. 87 кв. 30, Зеленодольськ, 82689",+380 13 953 06 83,olhadeisun@ukr.net
Акименко,Альбіна,Василівна,Жінка,1974-06-20,Краєзнавець,місто Мена,"вулиця Пересипський 1-й, буд. 9 кв. 022, Остер, 82682",+380 72 684 21 55,lsahal@ukr.net
Дейнеко,Сергій,Петрович,Чоловік,1950-08-26,Дантист,місто Новгород-Сіверський,"провулок Дальня, буд. 841, Лохвиця, 30167",016 580-22-91,havrylivhryhorii@gmail.com
Авраменко,Тереза,Олександрівна,Жінка,1999-06-28,Фольклорист,місто Чернігів,"набережна Ризька, буд. 446, Белз, 33110",+380 85 908-84-61,ostap87@ukr.net
Данилюк,Данило,Зіновійович,Чоловік,1966-04-03,Науковець,село Перевальськ,"вулиця Дніпропетровська дорога, буд. 6 кв. 28, Шахтарське, 17378",017 758 23 18,hermanbaranets@gmail.com
Чалий,Едита,Дмитрівна,Жінка,1940-01-09,Клоун,селище Радомишль,"парк Бернардацці, буд. 589, Заставна, 53623",+380 (24) 752-46-09,oleszakharchenko@ukr.net
Ісаєвич,Орина,Романівна,Жінка,1991-10-17,Підприємець,село Гнівань,"набережна Костанді, буд. 0, Гірське, 79494",+380 74 612 54 55,yiakymchuk@gmail.com
Нестеренко,Альберт,Тимофійович,Чоловік,2005-07-28,Кухар,село Соледар,"сквер Шполянська, буд. 419 кв. 7, Авдіївка, 38212",+380 99 895-24-68,pryimakleopold@ukr.net
Журавель,Артем,Олександрович,Чоловік,1985-10-25,Кур'єр,місто Пирятин,"набережна Бокаріуса, буд. 207, Решетилівка, 53588",332-54-37,tovstukhaalbert@gmail.com
Бараник,Амалія,Ігорівна,Жінка,1992-08-10,Музикознавець,місто Ямпіль,"набережна Армійська, буд. 573, Переяслав, 02863",+380 98 725 05 75,ivanenkobohdanna@ukr.net
Чумак,Охрім,Олегович,Чоловік,1981-11-11,Диригент,село Балта,"сквер Шполянська, буд. 4, Мерефа, 54742",+380 19 500-42-63,amaliia94@ukr.net
Матяш,Тереза,Романівна,Жінка,2006-07-18,Пілот,селище Соснівка,"площа Мелітопольська, буд. 90 кв. 58, Кам'янка-Бузька, 72346",+380 05 231-73-07,boleslavlahoda@gmail.com
Товстуха,Богодар,Ігорович,Чоловік,2004-09-10,Кухар,селище Тараща,"сквер Килимовий, буд. 109 кв. 8, Чистякове, 56425",748 13 24,nbandurka@ukr.net
Цимбал,Олег,Андрійович,Чоловік,1963-09-18,Правник,селище Сквира,"шосе Ремонтна, буд. 424 кв. 637, Золотоноша, 31403",075 793 41 81,darynaiukhymenko@gmail.com
Скопенко,Тимофій,Зіновійович,Чоловік,1959-02-20,Соціолог,селище Новодружеськ,"набережна Побратимів, буд. 93 кв. 7, Яремче, 39583",+380 (89) 963-63-53,albina77@gmail.com
Якименко,Віра,Ярославівна,Жінка,1947-04-17,Кур'єр,селище Татарбунари,"сквер Бродська, буд. 829, Ічня, 24794",+380 51 360-89-59,ivalenko@gmail.com
Носаченко,Спас,Олегович,Чоловік,1967-03-21,Мінералог,село Гадяч,"шосе Докова, буд. 35, Суми, 42256",+380 00 325-81-05,wartym@gmail.com
Габелко,Левко,Михайлович,Чоловік,1956-04-02,Скульптор,село Бар,"проспект Гонтаренко, буд. 7, Іллінці, 78354",063 202 04 27,eduard28@ukr.net
Ющенко,Мирослав,Вікторович,Чоловік,1996-07-30,Геолог,селище Біляївка,"сквер Кришталевий, буд. 9 кв. 415, Щолкіне, 46772",739-73-61,yzabarnyi@gmail.com
Цибуленко,Захар,Сергійович,Чоловік,2007-07-14,Шериф,місто Борислав,"вулиця Ламаний, буд. 146, Богодухів, 52910",601-70-39,borysfurs@gmail.com
Шаповал,Мирослав,Ігорович,Чоловік,1952-01-06,Скульптор,село Ніжин,"набережна Журавлина, буд. 9, Трускавець, 21077",+380 (24) 309-64-70,tierchenko@ukr.net
Бабʼюк,Людмила,Валентинівна,Жінка,1969-06-03,Географ,селище Ізмаїл,"вулиця Амундсена, 3-й, буд. 2, Новгород-Сіверський, 44317",040 03 70,kylymnykvitalii@ukr.net
Власюк,Вʼячеслав,Олегович,Чоловік,1981-11-11,Співак,місто Мирноград,"шосе Українських Героїв, буд. 7 кв. 84, Харків, 25581",059 822 90 23,semennazarenko@gmail.com
Кармалюк,Аврелій,Андрійович,Чоловік,1973-12-18,Дизайнер,селище Білгород-Дністровський,"сквер Парусна, буд. 12, Хмільник, 24885",734-11-65,zorian87@gmail.com
Акименко,Юстина,Тимофіївна,Жінка,1975-02-21,Державний службовець,місто Апостолове,"вулиця Радісна, буд. 8, Сокиряни, 86363",+380 04 191 37 78,zhaidamaka@ukr.net
Скоробогатько,Мілена,Дмитрівна,Жінка,1941-01-06,Філолог,село Козятин,"сквер Героїв прикордонників, буд. 3, Любомль, 76744",+380 96 709-61-84,serhii29@gmail.com
Жарко,Веніямин,Ярославович,Чоловік,1996-08-13,Будник,село Фастів,"провулок Петра Болбочана, буд. 160 кв. 851, Берестечко, 56040",+380 09 622 91 03,dzyndrakhrystyna@gmail.com
Рябовіл,Камілла,Вікторівна,Жінка,1972-09-10,Художник,місто Костянтинівка,"шосе Житомирський 3-й, буд. 1 кв. 261, Сміла, 94277",020 817 75 97,mariana34@ukr.net
Євтушенко,Амвросій,Вікторович,Чоловік,1954-07-02,Акушер,місто Ворожба,"парк Клинова, буд. 00 кв. 71, Жашків, 60468",+380 (40) 676-21-15,jkhudobiak@ukr.net
Жарко,Григорій,Максимович,Чоловік,1983-03-11,Машиніст,місто Сватове,"проспект Розкидайлівська, буд. 65, Батурин, 22892",000 24 23,pylyp11@gmail.com
Ящук,Степан,Андрійович,Чоловік,1997-05-23,Сценарист,місто Запоріжжя,"сквер Лугова, буд. 87, Рава-Руська, 12771",+380 50 591-22-74,levko21@gmail.com
Єресько,Прохір,Андрійович,Чоловік,1983-03-09,Каскадер,місто Біла Церква,"вулиця Флотський 2-й, буд. 2 кв. 5, Устилуг, 55780",+380 27 773 21 69,tzakusylo@ukr.net
Овчаренко,Лілія,Василівна,Жінка,1983-10-07,Художник,село Пологи,"площа Балтський 3-й, буд. 25, Семенівка, 45954",+380 77 235-35-94,demyd60@gmail.com
Євтушенко,Оксана,Ярославівна,Жінка,1939-11-14,Стиліст,село Ізмаїл,"вулиця Тепличний 1-й, буд. 05, Дергачі, 42318",+380 87 707 20 18,ndubenko@ukr.net
Носаченко,Симон,Максимович,Чоловік,1971-09-10,Археолог,село Судова Вишня,"провулок Пироговська, буд. 3, Кролевець, 98133",+380 71 425-26-90,andreikostanislav@ukr.net
Левченко,Володимира,Іванівна,Жінка,2003-06-10,Громадський діяч,село Старий Самбір,"парк Амбулаторний 2-й, буд. 41 кв. 322, Вуглегірськ, 44886",+380 (61) 399-83-67,khomanazarenko@ukr.net
Ґереґа,Борислав,Сергійович,Чоловік,1980-09-30,Патологоанатом,село Залізне,"шосе Вузький, буд. 368, Глобине, 16823",+380 44 402-61-70,marusiadziuba@gmail.com
Алексюк,Ярослава,Романівна,Жінка,1961-01-31,Геолог,село Сміла,"вулиця Охтирський, буд. 1, Гайсин, 18026",557-73-97,qrubets@ukr.net
Вітер,Роман,Олегович,Чоловік,2000-02-17,Штукатур,село Борщів,"вулиця Сергія Ейзенштейна, буд. 88, Каховка, 28727",088 356-99-00,panteleimonartemenko@gmail.com
Матяш,Софія,Володимирівна,Жінка,1966-07-14,Археолог,місто Хмельницький,"вулиця Акордна, буд. 84 кв. 4, Пирятин, 77832",+380 19 243-51-54,haidaburavira@ukr.net
Атаманюк,Ірена,Валентинівна,Жінка,1938-09-05,Професор,селище Балаклія,"набережна Кропивницького, буд. 5, Снятин, 98219",860 53 46,rostyslav67@gmail.com
Аронець,Артем,Дмитрович,Чоловік,1979-04-19,Сценарист,місто Селидове,"сквер Садова 5-та, буд. 75 кв. 51, Волочиськ, 29918",333 21 36,ievhen04@ukr.net
Гайда,Опанас,Ярославович,Чоловік,1961-03-06,Шериф,село Долина,"площа Середня, буд. 252, Дніпро, 18529",138-56-89,alla56@gmail.com
Їжак,Орина,Іванівна,Жінка,1991-10-06,Промисловець,місто Знам'янка,"шосе Соляний 2-й, буд. 5 кв. 87, Олександрія, 54122",+380 10 246-87-19,sdeisun@gmail.com
Голик,Леопольд,Максимович,Чоловік,1942-08-27,Етнограф,місто Зміїв,"провулок Виноградна 3-тя, буд. 978, Ровеньки, 53250",027 956-31-63,taras59@ukr.net
Зарудна,Світлана,Романівна,Жінка,1971-06-19,Стоматолог,село Путивль,"провулок Тупиковий, буд. 62, Білицьке, 47715",+380 (71) 851-77-46,ihnat98@ukr.net
Дуплій,Лілія,Олександрівна,Жінка,1989-12-28,Громадський діяч,селище Чернівці,"шосе Багрицького, буд. 77 кв. 710, Миколаївка, 04106",+380 (70) 215-88-68,roksolana00@gmail.com
Баклан,Віктор,Васильович,Чоловік,1939-02-06,Патологоанатом,місто Дергачі,"шосе Лїнія 1-ша, буд. 709 кв. 8, Покровськ, 86124",664 67 79,leon65@gmail.com
Овсієнко,Богуслав,Сергійович,Чоловік,1978-01-31,Випробувач,село Одеса,"проспект Гранатний, буд. 95, Перевальськ, 77370",058 935-50-55,serhii49@ukr.net
Чередник,Феофан,Зіновійович,Чоловік,1974-12-31,Гінеколог,село Миронівка,"набережна Водопровідний 3-й, буд. 593, Звенигородка, 56472",+380 (87) 162-56-11,kkaras@gmail.com
Єрошенко,Богуслав,Григорович,Чоловік,1981-05-12,Архітектор,селище Жовква,"шосе Садова, буд. 42 кв. 57, Ірпінь, 62709",+380 (95) 423-54-35,iurchyshynaarsen@gmail.com
Скопенко,Федір,Вікторович,Чоловік,1973-08-08,Стиліст,селище Чигирин,"проспект Щоглова, буд. 508 кв. 3, Харків, 20590",+380 02 174-62-52,akulenkovalerii@ukr.net
Забара,Юстина,Романівна,Жінка,1987-10-06,Дерун,селище Херсон,"набережна Мариністів, буд. 00, Ківерці, 17393",+380 08 512-49-53,masliakdmytro@gmail.com
Вітрук,Стефан,Ігорович,Чоловік,1989-09-03,Гінеколог,селище Збараж,"набережна Панаса Саксаганського, буд. 0, Виноградів, 55986",327 42 06,odarka44@gmail.com
Власенко,Ганна,Олександрівна,Жінка,1939-07-26,Графік,місто Красноперекопськ,"вулиця Каштанова, буд. 15, Вознесенськ, 27227",005 363-97-73,mariiaderkach@ukr.net
Гриценко,Мілена,Тимофіївна,Жінка,1985-06-15,Машиніст,селище Біляївка,"набережна Балтська дорога, буд. 545, Армянськ, 55408",+380 85 802-52-17,chumachenkolukian@ukr.net
